crypto,Actual 2021.8.27 Close,% change,Predicted 8.28 Close
stellar,0.35733,0.0113422782535009,0.36138293628832346
Algorand,1.065106987953186,-0.002991133028572,1.0619211112625564
Arweave,38.34687042236328,0.0234592258623288,39.24645831671496
EOS,5.08466911315918,0.0024164859815082,5.096956144791736
PancakeSwap,26.135805130004883,-0.022516791077408,25.547310666252713
Mina,2.963354110717773,-0.0054389751737816,2.9472365012784554
Curve DAO Token,2.1815309524536133,-0.0088109469459942,2.1623095989705003
Bitcoin SV,161.5417938232422,0.0672663673758506,172.40812347311032
tether,1.0006,-0.0006971710175477,0.9999024106798416
Decred,178.40176391601562,0.0012397477165937,178.6229370954668
Pax Dollar,1.0000699758529663,-0.0005685758271267,0.9995013602392612
THORChain,10.372475624084473,-0.0066003181946681,10.304013984499077
polygon,1.517,0.0029224762356618,1.521433396449499
ethereum,3273.58,0.0155244252187571,3324.400447907619
Bitcoin BEP2,48256.296875,0.0369473025776949,50039.2368769197
VeChain,0.1281139999628067,0.0062038056610513,0.12890879432103589
1inch,3.211493015289306,0.0112555176019668,3.2476400314514886
Fei USD,0.9929590225219728,0.002029544977425,0.9949742775189211
litecoin,176.12,-0.0078701511247671,174.73390898390602
Qtum,12.848587036132812,0.0110193558844354,12.990170189296103
Trust Wallet Token,0.8980910181999207,0.0783165097236633,0.9684263721595094
bitcoin,49064.3,-0.005554098286329,48791.79205545007
cardano,2.9459,-0.0008112632690864,2.9435100995355983
Stacks,1.4289929866790771,0.0019061111307379,1.4317168061167325
Dash,242.2235717773437,-0.0038444895231524,241.29234579338512
Enjin Coin,2.0028679370880127,0.0077036710303184,2.018297372792511
usd coin,0.9994,6.511455048557732e-05,0.9994650754817552
Tezos,5.223711013793945,-0.0019887606689436,5.2133223027837845
Huobi Token,14.303284645080566,0.0018954280877988,14.330395492544632
Nexo,1.9308160543441768,0.0085917475444153,1.947405138437806
ftx token,49.4881,-0.0037934125571658,49.300371220029724
dai,0.9997,-0.0008002579133932,0.9988999821639808
TrueUSD,1.0000079870224,0.000956507563989,1.0009645022260363
tron,0.088295,-0.0031136638048812,0.08802007905434801
Fantom,0.4923039972782135,0.0244102771334982,0.5043212742857036
BNB,494.4986877441406,0.0051643745281025,497.05246417130655
Chiliz,0.377362996339798,-0.0009322214583509,0.3770112104570224
Filecoin,75.15064239501953,0.0057265838274031,75.58099884837782
Gala,0.0312700010836124,-0.0195202363145004,0.0306596032729056
Maker,3746.96435546875,0.0025626288676245,3756.5664344920347
OKB,20.86827087402344,-0.0006943107485591,20.853781809251764
avalanche,50.04,-0.0012454373033502,49.977678317340356
